,Community Total Cases (Includes WP Holders not in Dorms),Dormitory Residents Total Cases,Imported Cases
2020-04-16,1102,2746,575
2020-04-17,1140,3330,576
2020-04-18,1171,4240,577
2020-04-19,1208,4799,577
2020-04-20,1236,6196,577
2020-04-21,1276,7266,577
2020-04-22,1295,8261,577
2020-04-23,1335,9258,577
2020-04-24,1360,10129,577
2020-04-25,1373,10733,577
2020-04-26,1397,11638,579
2020-04-27,1418,12416,579
2020-04-28,1431,12931,579
2020-04-29,1449,13603,579
2020-04-30,1464,14115,579
2020-05-01,1474,15037,579
2020-05-02,1481,15477,579
2020-05-03,1496,16119,579
2020-05-04,1501,16686,579
2020-05-05,1511,17307,579
2020-05-06,1526,18079,579
2020-05-07,1536,18803,579
2020-05-08,1547,19532,579
2020-05-09,1557,20275,579
2020-05-10,1566,21141,580
2020-05-11,1569,21624,580
2020-05-12,1573,22504,580
2020-05-13,1577,23175,580
2020-05-14,1579,23925,580
2020-05-15,1581,24716,580
2020-05-16,1589,25173,580
2020-05-17,1596,25846,580
2020-05-18,1598,26149,580
2020-05-19,1599,26599,580
2020-05-20,1607,27161,580
2020-05-21,1620,27596,580
2020-05-22,1624,28206,580
2020-05-23,1635,28837,580
2020-05-24,1639,29381,580
2020-05-25,1645,29719,580
2020-05-26,1647,30100,580
2020-05-27,1651,30629,580
2020-05-28,1653,31000,580
2020-05-29,1662,31602,580
2020-05-30,1667,32103,580
2020-05-31,1669,32619,580
2020-06-01,1669,33027,580
2020-06-02,1673,33567,580
2020-06-03,1679,34129,580
2020-06-04,1694,34631,580
2020-06-05,1705,34881,580
2020-06-06,1712,35218,580
2020-06-07,1726,35587,580
2020-06-08,1728,35971,580
2020-06-09,1734,36183,580
2020-06-10,1741,36627,580
2020-06-11,1746,37043,580
2020-06-12,1764,37488,580
2020-06-13,1769,37830,580
2020-06-14,1778,38227,581
2020-06-15,1781,38438,581
2020-06-16,1783,38587,581
2020-06-17,1788,38829,581
2020-06-18,1792,39082,581
2020-06-19,1793,39223,581
2020-06-20,1795,39439,581
2020-06-21,1805,39691,581
2020-06-22,1806,39908,581
2020-06-23,1810,40023,581
2020-06-24,1817,40207,581
2020-06-25,1822,40315,581
2020-06-26,1828,40528,581
2020-06-27,1839,40808,581
2020-06-28,1849,41009,581
2020-06-29,1856,41204,581
2020-06-30,1861,41444,582
2020-07-01,1870,41645,586
2020-07-02,1880,41822,587
2020-07-03,1891,41977,590
2020-07-04,1899,42152,591
2020-07-05,1917,42263,598
2020-07-06,1940,42420,601
2020-07-07,1959,42554,604
2020-07-08,1968,42700,607
2020-07-09,1989,42803,608
2020-07-10,2004,42977,609
2020-07-11,2028,43122,610
2020-07-12,2029,43296,611
2020-07-13,2040,43602,616
2020-07-14,2047,43940,618
2020-07-15,2062,44165,623
2020-07-16,2073,44398,627
2020-07-17,2082,44713,630
2020-07-18,2089,44899,638
2020-07-19,2097,45143,643
2020-07-20,2107,45253,645
2020-07-21,2116,45640,648
2020-07-22,2124,45935,654
2020-07-23,2131,46275,659
2020-07-24,2134,46547,661
2020-07-25,2136,47052,667
2020-07-26,2141,47524,671
2020-07-27,2143,47975,686
2020-07-28,2145,48330,688
2020-07-29,2148,48656,692
2020-07-30,2152,48926,696
2020-07-31,2155,49316,699
2020-08-01,2156,49617,704
2020-08-02,2157,49924,709
2020-08-03,2158,50138,718
2020-08-04,2160,50424,725
2020-08-05,2161,51325,729
2020-08-06,2165,51618,733
2020-08-07,2166,51853,739
2020-08-08,2167,51978,745
2020-08-09,2168,52149,748
2020-08-10,2169,52324,760
2020-08-11,2171,52380,763
2020-08-12,2172,52410,774
2020-08-13,2177,52501,780
2020-08-14,2177,52580,784
2020-08-15,2180,52642,800
2020-08-16,2182,52720,806
2020-08-17,2182,52805,812
2020-08-18,2183,52902,814
2020-08-19,2185,52987,820
2020-08-20,2185,53053,822
2020-08-21,2191,53150,835
2020-08-22,2193,53193,840
2020-08-23,2194,53266,853
2020-08-24,2195,53309,860
2020-08-25,2195,53339,861
2020-08-26,2198,53386,871
2020-08-27,2200,53456,876
2020-08-28,2204,53536,886
2020-08-29,2205,53583,889
2020-08-30,2213,53621,896
2020-08-31,2216,53652,903
2020-09-01,2217,53684,910
2020-09-02,2220,53727,913
2020-09-03,2222,53768,918
2020-09-04,2222,53805,921
2020-09-05,2225,53834,922
2020-09-06,2229,53857,935
2020-09-07,2230,53875,938
2020-09-08,2230,53921,939
2020-09-09,2231,53981,953
2020-09-10,2233,54036,959
2020-09-11,2233,54109,972
2020-09-12,2237,54137,982
2020-09-13,2238,54177,990
2020-09-14,2238,54220,995
2020-09-15,2238,54248,1001
2020-09-16,2240,54271,1003
2020-09-17,2241,54286,1005
2020-09-18,2241,54295,1006
2020-09-19,2242,54304,1011
2020-09-20,2243,54317,1015
2020-09-21,2243,54339,1024
2020-09-22,2243,54359,1025
2020-09-23,2244,54366,1029
2020-09-24,2244,54376,1034
2020-09-25,2244,54385,1036
2020-09-26,2245,54399,1041
2020-09-27,2245,54409,1046
2020-09-28,2247,54416,1052
2020-09-29,2248,54433,1061
2020-09-30,2251,54449,1065
2020-10-01,2252,54452,1080
2020-10-02,2253,54456,1085
2020-10-03,2254,54457,1089
2020-10-04,2256,54461,1095
2020-10-05,2257,54466,1096
2020-10-06,2259,54471,1100
2020-10-07,2259,54475,1106
2020-10-08,2259,54479,1111
2020-10-09,2259,54480,1120
2020-10-10,2260,54481,1125
2020-10-11,2260,54484,1132
2020-10-12,2261,54485,1134
2020-10-13,2261,54485,1138
2020-10-14,2263,54485,1141
2020-10-15,2263,54486,1143
2020-10-16,2263,54487,1151
2020-10-17,2264,54488,1152
2020-10-18,2265,54489,1157
2020-10-19,2265,54489,1161
2020-10-20,2265,54491,1165
2020-10-21,2265,54491,1177
2020-10-22,2265,54492,1184
2020-10-23,2265,54492,1194
2020-10-24,2267,54493,1205
2020-10-25,2267,54495,1208
2020-10-26,2267,54496,1210
2020-10-27,2267,54496,1217
2020-10-28,2267,54496,1224
2020-10-29,2267,54496,1231
2020-10-30,2267,54497,1239
2020-10-31,2267,54497,1251
2020-11-01,2267,54497,1255
2020-11-02,2267,54497,1256
2020-11-03,2267,54499,1263
2020-11-04,2267,54501,1268
2020-11-05,2267,54501,1275
2020-11-06,2267,54501,1279
2020-11-07,2267,54501,1286
2020-11-08,2267,54501,1288
2020-11-09,2267,54501,1296
2020-11-10,2268,54502,1303
2020-11-11,2268,54502,1321
2020-11-12,2268,54502,1332
2020-11-13,2268,54502,1344
2020-11-14,2268,54502,1346
2020-11-15,2268,54502,1349
2020-11-16,2268,54502,1354
2020-11-17,2268,54502,1360
2020-11-18,2268,54502,1365
2020-11-19,2268,54502,1369
2020-11-20,2268,54502,1373
2020-11-21,2268,54502,1378
2020-11-22,2268,54502,1390
2020-11-23,2268,54502,1395
2020-11-24,2268,54502,1413
2020-11-25,2268,54502,1420
2020-11-26,2269,54502,1424
2020-11-27,2269,54502,1428
2020-11-28,2270,54502,1433
2020-11-29,2270,54502,1441
2020-11-30,2270,54502,1446
2020-12-01,2271,54503,1454
2020-12-02,2271,54503,1456
2020-12-03,2271,54504,1464
2020-12-04,2271,54504,1467
2020-12-05,2272,54504,1479
2020-12-06,2272,54504,1484
2020-12-07,2272,54504,1497
2020-12-08,2272,54504,1509
2020-12-09,2272,54504,1515
2020-12-10,2272,54504,1521
2020-12-11,2272,54505,1528
2020-12-12,2272,54505,1536
2020-12-13,2272,54505,1543
2020-12-14,2272,54505,1548
2020-12-15,2272,54506,1563
2020-12-16,2272,54506,1575
2020-12-17,2272,54506,1599
2020-12-18,2272,54506,1608
2020-12-19,2272,54506,1625
2020-12-20,2272,54506,1644
2020-12-21,2273,54506,1653
2020-12-22,2273,54506,1682
2020-12-23,2273,54506,1703
2020-12-24,2273,54506,1716
2020-12-25,2273,54506,1730
2020-12-26,2273,54506,1740
2020-12-27,2273,54506,1745
2020-12-28,2273,54506,1750
2020-12-29,2273,54506,1763
2020-12-30,2274,54506,1789
2020-12-31,2279,54506,1814
2021-01-01,2281,54506,1842
2021-01-02,2281,54506,1875
2021-01-03,2281,54506,1910
2021-01-04,2281,54506,1934
2021-01-05,2282,54506,1961
2021-01-06,2283,54506,1991
2021-01-07,2285,54506,2022
2021-01-08,2287,54506,2043
2021-01-09,2287,54506,2072
2021-01-10,2287,54506,2114
2021-01-11,2287,54506,2136
2021-01-12,2287,54506,2153
2021-01-13,2287,54507,2190
2021-01-14,2288,54507,2234
2021-01-15,2288,54507,2264
2021-01-16,2292,54508,2283
2021-01-17,2294,54508,2311
2021-01-18,2296,54508,2323
2021-01-19,2300,54508,2349
2021-01-20,2303,54508,2386
2021-01-21,2306,54508,2421
2021-01-22,2307,54508,2435
2021-01-23,2307,54508,2445
2021-01-24,2307,54508,2493
2021-01-25,2307,54508,2537
2021-01-26,2307,54508,2551
2021-01-27,2307,54508,2576
2021-01-28,2307,54508,2610
2021-01-29,2307,54508,2634
2021-01-30,2310,54508,2689
2021-01-31,2310,54508,2718
2021-02-01,2310,54508,2747
2021-02-02,2310,54508,2766
2021-02-03,2310,54508,2784
2021-02-04,2310,54508,2806
2021-02-05,2311,54508,2830
2021-02-06,2311,54508,2856
2021-02-07,2312,54508,2879
2021-02-08,2314,54508,2899
2021-02-09,2314,54508,2910
2021-02-10,2314,54509,2924
2021-02-11,2317,54509,2933
2021-02-12,2319,54509,2949
2021-02-13,2319,54509,2958
2021-02-14,2319,54509,2972
2021-02-15,2319,54509,2981
2021-02-16,2319,54509,2982
2021-02-17,2320,54509,2992
2021-02-18,2320,54509,3003
2021-02-19,2320,54509,3017
2021-02-20,2320,54509,3029
2021-02-21,2320,54509,3040
2021-02-22,2321,54509,3049
2021-02-23,2321,54510,3052
2021-02-24,2322,54510,3058
2021-02-25,2324,54510,3066
2021-02-26,2324,54510,3079
2021-02-27,2324,54510,3091
2021-02-28,2324,54511,3101
2021-03-01,2324,54511,3113
2021-03-02,2324,54511,3121
2021-03-03,2326,54511,3142
2021-03-04,2327,54511,3160
2021-03-05,2327,54511,3169
2021-03-06,2327,54511,3182
2021-03-07,2327,54511,3195
2021-03-08,2327,54511,3208
2021-03-09,2327,54511,3214
2021-03-10,2327,54511,3224
2021-03-11,2327,54511,3232
2021-03-12,2327,54511,3242
2021-03-13,2327,54511,3250
2021-03-14,2327,54511,3267
2021-03-15,2327,54511,3279
2021-03-16,2327,54511,3290
2021-03-17,2327,54511,3299
2021-03-18,2327,54511,3314
2021-03-19,2327,54511,3329
2021-03-20,2327,54511,3346
2021-03-21,2327,54511,3358
2021-03-22,2327,54511,3370
2021-03-23,2327,54511,3383
2021-03-24,2327,54511,3398
2021-03-25,2327,54511,3415
2021-03-26,2327,54511,3427
2021-03-27,2327,54511,3450
2021-03-28,2327,54511,3462
2021-03-29,2327,54511,3483
2021-03-30,2327,54511,3509
2021-03-31,2327,54511,3543
2021-04-01,2327,54511,3569
2021-04-02,2327,54511,3612
2021-04-03,2327,54511,3630
2021-04-04,2327,54511,3640
2021-04-05,2327,54511,3657
2021-04-06,2327,54511,3681
2021-04-07,2328,54511,3715
2021-04-08,2328,54511,3736
2021-04-09,2328,54511,3762
2021-04-10,2328,54511,3794
2021-04-11,2328,54512,3813
2021-04-12,2328,54512,3838
2021-04-13,2328,54512,3852
2021-04-14,2329,54512,3878
2021-04-15,2329,54512,3894
2021-04-16,2330,54512,3927
2021-04-17,2334,54512,3962
2021-04-18,2335,54512,3984
2021-04-19,2336,54512,4003
2021-04-20,2336,54513,4016
2021-04-21,2336,54513,4031
2021-04-22,2337,54514,4053
2021-04-23,2337,54515,4091
2021-04-24,2342,54515,4109
2021-04-25,2342,54515,4149
2021-04-26,2342,54516,4193
2021-04-27,2343,54516,4204
2021-04-28,2345,54516,4225
2021-04-29,2361,54516,4244
2021-04-30,2369,54516,4260
2021-05-01,2376,54518,4285
2021-05-02,2389,54518,4311
2021-05-03,2399,54518,4318
2021-05-04,2404,54518,4330
2021-05-05,2405,54518,4345
2021-05-06,2407,54518,4361
2021-05-07,2411,54518,4382
2021-05-08,2418,54518,4395
2021-05-09,2428,54518,4413
2021-05-10,2431,54518,4429
2021-05-11,2444,54518,4441
2021-05-12,2454,54518,4447
2021-05-13,2478,54518,4457
2021-05-14,2502,54518,4485
2021-05-15,2521,54518,4497
2021-05-16,2559,54518,4508
2021-05-17,2580,54518,4515
2021-05-18,2607,54518,4526
2021-05-19,2641,54518,4530
2021-05-20,2668,54518,4544
2021-05-21,2698,54518,4554
2021-05-22,2720,54518,4561
2021-05-23,2741,54519,4564
2021-05-24,2765,54519,4576
2021-05-25,2783,54522,4585
2021-05-26,2806,54523,4587
2021-05-27,2820,54524,4596
2021-05-28,2835,54524,4611
2021-05-29,2858,54524,4621
2021-05-30,2877,54524,4627
2021-05-31,2893,54524,4634
2021-06-01,2908,54524,4637
2021-06-02,2931,54524,4645
2021-06-03,2966,54524,4655
2021-06-04,2973,54524,4661
2021-06-05,2986,54524,4666
2021-06-06,2992,54524,4680
2021-06-07,2997,54524,4689
2021-06-08,3000,54525,4694
2021-06-09,3002,54525,4696
2021-06-10,3006,54525,4705
2021-06-11,3009,54525,4711
2021-06-12,3018,54525,4720
2021-06-13,3028,54525,4723
2021-06-14,3046,54526,4729
2021-06-15,3060,54526,4729
2021-06-16,3079,54526,4734
2021-06-17,3099,54526,4741
2021-06-18,3113,54526,4743
2021-06-19,3127,54526,4750
2021-06-20,3136,54526,4752
2021-06-21,3149,54526,4755
2021-06-22,3164,54526,4758
2021-06-23,3177,54526,4767
2021-06-24,3191,54526,4776
2021-06-25,3206,54526,4781
2021-06-26,3219,54526,4785
2021-06-27,3231,54526,4787
2021-06-28,3235,54526,4792
2021-06-29,3240,54526,4797
2021-06-30,3245,54526,4808
2021-07-01,3249,54526,4814
2021-07-02,3252,54526,4821
2021-07-03,3256,54526,4824
2021-07-04,3257,54526,4834
2021-07-05,3263,54526,4841
2021-07-06,3264,54527,4849
2021-07-07,3269,54527,4856
2021-07-08,3272,54527,4869
2021-07-09,3273,54527,4878
2021-07-10,3273,54527,4884
2021-07-11,3274,54527,4891
2021-07-12,3282,54527,4909
2021-07-13,3301,54527,4916
2021-07-14,3357,54527,4920
2021-07-15,3399,54527,4926
2021-07-16,3452,54527,4934
2021-07-17,3512,54527,4942
2021-07-18,3599,54528,4946
2021-07-19,3762,54528,4955
2021-07-20,3944,54528,4968
2021-07-21,4123,54528,4970
2021-07-22,4283,54530,4978
2021-07-23,4413,54530,4981
2021-07-24,4539,54531,4984
2021-07-25,4655,54532,4992
2021-07-26,4783,54533,4998
2021-07-27,4911,54541,5001
2021-07-28,5038,54544,5007
2021-07-29,5164,54547,5011
2021-07-30,5291,54551,5019
2021-07-31,5407,54552,5022
2021-08-01,5516,54556,5030
2021-08-02,5618,54560,5035
2021-08-03,5710,54566,5039
2021-08-04,5796,54572,5042
2021-08-05,5887,54577,5044
2021-08-06,5962,54595,5048
2021-08-07,6018,54614,5054
2021-08-08,6087,54618,5059
2021-08-09,6144,54630,5062
2021-08-10,6191,54636,5063
2021-08-11,6244,54644,5065
2021-08-12,6299,54648,5065
2021-08-13,6342,54650,5069
2021-08-14,6395,54654,5070
2021-08-15,6441,54658,5073
2021-08-16,6475,54672,5078
2021-08-17,6513,54686,5082
2021-08-18,6560,54688,5086
2021-08-19,6589,54688,5089
2021-08-20,6623,54690,5093
2021-08-21,6655,54690,5098
2021-08-22,6681,54693,5104
2021-08-23,6715,54753,5108
2021-08-24,6803,54776,5113
2021-08-25,6895,54802,5115
2021-08-26,6994,54815,5119
2021-08-27,7107,54822,5121
2021-08-28,7206,54836,5129
2021-08-29,7315,54851,5138
2021-08-30,7438,54875,5146
2021-08-31,7574,54895,5151
2021-09-01,7740,54906,5154
2021-09-02,7917,54917,5157
2021-09-03,8127,54923,5160
2021-09-04,8373,54930,5166
2021-09-05,8548,54941,5171
2021-09-06,8763,54961,5177
2021-09-07,9063,54989,5181
2021-09-08,9392,55007,5183
2021-09-09,9811,55038,5190
2021-09-10,10271,55146,5195
2021-09-11,10757,55210,5200
2021-09-12,11211,55273,5203
2021-09-13,11744,55336,5214
2021-09-14,12500,55413,5218
2021-09-15,13270,55447,5221
2021-09-16,14073,55550,5225
2021-09-17,14911,55646,5226
2021-09-18,15838,55724,5230
2021-09-19,16758,55814,5232
2021-09-20,17590,55892,5239
2021-09-21,18629,56027,5243
2021-09-22,19906,56203,5247
2021-09-23,21125,56476,5259
2021-09-24,22494,56753,5263
2021-09-25,23547,57124,5282
2021-09-26,25084,57522,5286
2021-09-27,26363,57884,5292
2021-09-28,28076,58399,5300
2021-09-29,29887,58847,5309
2021-09-30,31909,59299,5313
2021-10-01,33986,60118,5326
2021-10-02,35924,60530,5332
2021-10-03,37600,60903,5340
2021-10-04,39459,61504,5355
2021-10-05,42227,62217,5360
2021-10-06,45160,62847,5374
2021-10-07,47944,63539,5381
2021-10-08,50769,64304,5381
2021-10-09,53637,65136,5384
2021-10-10,55813,65767,5386
2021-10-11,57762,66073,5394
2021-10-12,60483,66324,5398
2021-10-13,63171,66822,5402
2021-10-14,65583,67339,5405
2021-10-15,68406,67959,5407
2021-10-16,71094,68615,5411
2021-10-17,73548,69216,5414
2021-10-18,75556,69760,5415
2021-10-19,79036,70261,5428
2021-10-20,82257,70891,5439
2021-10-21,85194,71391,5441
2021-10-22,88233,71983,5447
2021-10-23,91037,72773,5451
2021-10-24,93745,73440,5459
2021-10-25,96588,73762,5468
2021-10-26,99572,74050,5473
2021-10-27,104223,74711,5485
2021-10-28,107394,74963,5494
2021-10-29,111104,75499,5496
2021-10-30,113712,75999,5500
2021-10-31,116457,76413,5504
2021-11-01,118646,76691,5507
2021-11-02,121998,76832,5510
2021-11-03,125221,77241,5513
2021-11-04,128001,77461,5516
2021-11-05,129640,77581,5524
2021-11-06,132568,77683,5529
2021-11-07,134911,77888,5534
2021-11-08,137218,78044,5541
2021-11-09,140440,78213,5547
2021-11-10,143684,78442,5555
2021-11-11,145927,78578,5572
